puzzle_id,date,tau,ambiguity_score,structural_overlap_score,n_solution_hyperedges,n_candidate_hyperedges,n_total_hyperedges,n_words,elapsed_s,AS_yellow,AS_green,AS_blue,AS_purple,SOS_yellow,SOS_green,SOS_blue,SOS_purple
1019,March 26 2026,0.15,19.0,2.75,4,76,80,16,1.507,28.25,22.0,17.5,8.25,3.0,3.0,3.0,2.0
1018,March 25 2026,0.15,43.5,2.25,4,174,178,16,0.054,93.5,28.5,20.5,31.5,3.0,2.0,2.0,2.0
1017,March 24 2026,0.15,13.5,2.0,4,54,58,16,0.061,9.5,24.75,13.25,6.5,2.0,3.0,2.0,1.0
1015,March 22 2026,0.15,78.5,3.0,4,314,318,16,0.077,60.75,102.75,84.25,66.25,3.0,3.0,3.0,3.0
1014,March 21 2026,0.15,101.75,2.5,4,407,411,16,0.065,109.75,153.0,74.5,69.75,3.0,3.0,2.0,2.0
1013,March 20 2026,0.15,30.75,2.5,4,123,127,16,0.056,49.5,15.75,41.25,16.5,3.0,2.0,3.0,2.0
1011,March 18 2026,0.15,30.0,2.75,4,120,124,16,0.048,25.75,40.25,38.0,16.0,3.0,3.0,3.0,2.0
1010,March 17 2026,0.15,87.5,2.75,4,350,354,16,0.049,82.25,132.0,84.5,51.25,3.0,3.0,3.0,2.0
1009,March 16 2026,0.15,75.5,2.75,4,302,306,16,0.039,78.5,52.0,74.25,97.25,3.0,2.0,3.0,3.0
1008,March 15 2026,0.15,45.0,2.25,4,180,184,16,0.041,26.5,101.75,22.75,29.0,2.0,3.0,2.0,2.0
1007,March 14 2026,0.15,34.5,2.25,4,138,142,16,0.025,72.75,22.75,16.25,26.25,3.0,2.0,2.0,2.0
1006,March 13 2026,0.15,50.0,2.5,4,200,204,16,0.033,35.0,86.5,53.25,25.25,2.0,3.0,3.0,2.0
1005,March 12 2026,0.15,45.5,2.5,4,182,186,16,0.022,45.0,84.0,26.25,26.75,3.0,3.0,2.0,2.0
1004,March 11 2026,0.15,11.25,2.0,4,45,49,16,0.044,11.75,11.5,11.5,10.25,2.0,2.0,2.0,2.0
1003,March 10 2026,0.15,0.5,1.25,4,2,6,16,0.047,0.25,0.5,0.5,0.75,1.0,1.0,1.0,2.0
1002,March 9 2026,0.15,18.75,2.5,4,75,79,16,0.021,24.5,13.25,29.5,7.75,3.0,2.0,3.0,2.0
1001,March 8 2026,0.15,34.25,2.25,4,137,141,16,0.033,64.25,24.5,16.5,31.75,3.0,2.0,1.0,3.0
1000,March 7 2026,0.15,67.25,2.5,4,269,273,16,0.027,127.5,43.75,68.0,29.75,3.0,2.0,3.0,2.0
999,March 6 2026,0.15,137.25,3.0,4,549,553,16,0.055,184.0,147.0,90.0,128.0,3.0,3.0,3.0,3.0
998,March 5 2026,0.15,90.75,3.0,4,363,367,16,0.046,63.0,66.0,142.25,91.75,3.0,3.0,3.0,3.0
997,March 4 2026,0.15,159.0,2.75,4,636,640,16,0.052,121.0,175.5,120.25,219.25,2.0,3.0,3.0,3.0
996,March 3 2026,0.15,19.25,2.5,4,77,81,16,0.035,12.0,21.75,33.0,10.25,2.0,3.0,3.0,2.0
995,March 2 2026,0.15,48.75,2.5,4,195,199,16,0.061,48.75,89.5,28.25,28.5,3.0,3.0,2.0,2.0
994,March 1 2026,0.15,0.0,0.0,4,0,4,16,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
993,February 28 2026,0.15,55.0,2.5,4,220,224,16,0.028,115.5,25.0,51.25,28.25,3.0,2.0,3.0,2.0
992,February 27 2026,0.15,53.5,2.5,4,214,218,16,0.062,69.0,85.75,27.75,31.5,3.0,3.0,2.0,2.0
991,February 26 2026,0.15,28.0,2.25,4,112,116,16,0.047,62.5,13.0,18.25,18.25,3.0,2.0,2.0,2.0
990,February 25 2026,0.15,74.75,2.75,4,299,303,16,0.051,101.25,73.25,82.25,42.25,3.0,3.0,3.0,2.0
989,February 24 2026,0.15,35.5,2.5,4,142,146,16,0.034,58.0,18.75,49.75,15.5,3.0,2.0,3.0,2.0
988,February 23 2026,0.15,6.5,2.25,4,26,30,16,0.044,3.75,5.25,9.5,7.5,2.0,2.0,3.0,2.0
987,February 22 2026,0.15,16.5,2.0,4,66,70,16,0.015,30.75,24.25,4.75,6.25,3.0,3.0,1.0,1.0
986,February 21 2026,0.15,150.75,2.75,4,603,607,16,0.034,168.0,182.0,161.75,91.25,3.0,3.0,3.0,2.0
985,February 20 2026,0.15,1.5,1.5,4,6,10,16,0.025,0.0,0.25,3.75,2.0,0.0,1.0,3.0,2.0
984,February 19 2026,0.15,24.25,2.5,4,97,101,16,0.029,27.25,42.75,5.5,21.5,3.0,3.0,1.0,3.0
983,February 18 2026,0.15,240.5,3.0,4,962,966,16,0.042,239.25,229.0,248.0,245.75,3.0,3.0,3.0,3.0
982,February 17 2026,0.15,1.0,1.75,4,4,8,16,0.059,0.25,0.75,2.0,1.0,1.0,2.0,3.0,1.0
981,February 16 2026,0.15,50.75,2.75,4,203,207,16,0.058,45.75,64.25,61.5,31.5,3.0,3.0,3.0,2.0
980,February 15 2026,0.15,175.75,2.75,4,703,707,16,0.033,212.0,214.0,187.25,89.75,3.0,3.0,3.0,2.0
979,February 14 2026,0.15,43.0,2.5,4,172,176,16,0.052,59.75,23.75,26.0,62.5,3.0,2.0,2.0,3.0
978,February 13 2026,0.15,39.0,2.75,4,156,160,16,0.033,54.75,26.0,25.25,50.0,3.0,3.0,2.0,3.0
